   107
  0.0000E+00  0.0000E+00  5.3794E+02  2.3130E-03  0.0000E+00  1.8025E+12  0.0000E+00  0.0000E+00  0.0000E+00  0.0000E+00
  9.4991E-06  1.5185E-01  5.3794E+02  2.3130E-03  3.7236E-06  1.5327E+08  0.0000E+00  0.0000E+00  3.8855E-10  0.0000E+00
  1.9758E-05  3.1602E-01  5.3794E+02  2.3130E-03  3.9077E-05  3.5768E+07  0.0000E+00  0.0000E+00  1.7491E-08  0.0000E+00
  3.0838E-05  4.9350E-01  5.3794E+02  2.3130E-03  1.6676E-04  1.4730E+07  0.0000E+00  0.0000E+00  1.8145E-07  0.0000E+00
  4.2804E-05  6.8540E-01  5.3794E+02  2.3130E-03  4.8814E-04  7.6578E+06  0.0000E+00  0.0000E+00  1.0229E-06  0.0000E+00
  5.5727E-05  8.9291E-01  5.3794E+02  2.3130E-03  1.1609E-03  4.5222E+06  0.0000E+00  0.0000E+00  4.1245E-06  0.0000E+00
  6.9685E-05  1.1173E+00  5.3794E+02  2.3130E-03  2.4208E-03  2.8939E+06  0.0000E+00  0.0000E+00  1.3459E-05  0.0000E+00
  8.4759E-05  1.3600E+00  5.3794E+02  2.3130E-03  4.6116E-03  1.9570E+06  0.0000E+00  0.0000E+00  3.7970E-05  0.0000E+00
  1.0104E-04  1.6226E+00  5.3794E+02  2.3130E-03  8.2245E-03  1.3776E+06  0.0000E+00  0.0000E+00  9.6348E-05  0.0000E+00
  1.1862E-04  1.9066E+00  5.3794E+02  2.3130E-03  1.3950E-02  9.9977E+05  0.0000E+00  0.0000E+00  2.2557E-04  0.0000E+00
  1.3761E-04  2.2138E+00  5.3794E+02  2.3130E-03  2.2749E-02  7.4304E+05  0.0000E+00  0.0000E+00  4.9581E-04  0.0000E+00
  1.5812E-04  2.5462E+00  5.3794E+02  2.3130E-03  3.5940E-02  5.6289E+05  0.0000E+00  0.0000E+00  1.0358E-03  0.0000E+00
  1.8027E-04  2.9059E+00  5.3794E+02  2.3130E-03  5.5309E-02  4.3313E+05  0.0000E+00  0.0000E+00  2.0753E-03  0.0000E+00
  2.0419E-04  3.2950E+00  5.3794E+02  2.3130E-03  8.3255E-02  3.3763E+05  0.0000E+00  0.0000E+00  4.0137E-03  0.0000E+00
  2.3002E-04  3.7158E+00  5.3794E+02  2.3130E-03  1.2294E-01  2.6797E+05  0.0000E+00  0.0000E+00  7.4760E-03  0.0000E+00
  2.5792E-04  4.1706E+00  5.3794E+02  2.3130E-03  1.7855E-01  2.1507E+05  0.0000E+00  0.0000E+00  1.3533E-02  0.0000E+00
  2.8805E-04  4.6618E+00  5.3794E+02  2.3130E-03  2.5545E-01  1.7446E+05  0.0000E+00  0.0000E+00  2.3843E-02  0.0000E+00
  3.2060E-04  5.1911E+00  5.3794E+02  2.3130E-03  3.6033E-01  1.4301E+05  0.0000E+00  0.0000E+00  4.0888E-02  0.0000E+00
  3.5574E-04  5.7600E+00  5.3794E+02  2.3130E-03  5.0114E-01  1.1846E+05  0.0000E+00  0.0000E+00  6.8163E-02  0.0000E+00
  3.9370E-04  6.3686E+00  5.3794E+02  2.3130E-03  6.8677E-01  9.9173E+04  0.0000E+00  0.0000E+00  1.1019E-01  0.0000E+00
  4.3470E-04  7.0155E+00  5.3794E+02  2.3130E-03  9.2615E-01  8.3899E+04  0.0000E+00  0.0000E+00  1.7215E-01  0.0000E+00
  4.7897E-04  7.6972E+00  5.3794E+02  2.3130E-03  1.2267E+00  7.1695E+04  0.0000E+00  0.0000E+00  2.5897E-01  0.0000E+00
  5.2679E-04  8.4075E+00  5.3794E+02  2.3130E-03  1.5925E+00  6.1833E+04  0.0000E+00  0.0000E+00  3.7384E-01  0.0000E+00
  5.7843E-04  9.1382E+00  5.3794E+02  2.3130E-03  2.0220E+00  5.3751E+04  0.0000E+00  0.0000E+00  5.1674E-01  0.0000E+00
  6.3421E-04  9.8795E+00  5.3794E+02  2.3130E-03  2.5075E+00  4.7026E+04  0.0000E+00  0.0000E+00  6.8378E-01  0.0000E+00
  6.9444E-04  1.0622E+01  5.3794E+02  2.3130E-03  3.0357E+00  4.1343E+04  0.0000E+00  0.0000E+00  8.6779E-01  0.0000E+00
  7.5950E-04  1.1355E+01  5.3794E+02  2.3130E-03  3.5901E+00  3.6476E+04  0.0000E+00  0.0000E+00  1.0601E+00  0.0000E+00
  8.2975E-04  1.2073E+01  5.3794E+02  2.3130E-03  4.1538E+00  3.2265E+04  0.0000E+00  0.0000E+00  1.2525E+00  0.0000E+00
  9.0563E-04  1.2771E+01  5.3794E+02  2.3130E-03  4.7119E+00  2.8595E+04  0.0000E+00  0.0000E+00  1.4386E+00  0.0000E+00
  9.8758E-04  1.3445E+01  5.3794E+02  2.3130E-03  5.2534E+00  2.5383E+04  0.0000E+00  0.0000E+00  1.6142E+00  0.0000E+00
  1.0761E-03  1.4095E+01  5.3793E+02  2.3130E-03  5.7709E+00  2.2566E+04  0.0000E+00  0.0000E+00  1.7773E+00  0.0000E+00
  1.1717E-03  1.4719E+01  5.3793E+02  2.3130E-03  6.2605E+00  2.0091E+04  0.0000E+00  0.0000E+00  1.9273E+00  0.0000E+00
  1.2749E-03  1.5319E+01  5.3793E+02  2.3130E-03  6.7212E+00  1.7915E+04  0.0000E+00  0.0000E+00  2.0647E+00  0.0000E+00
  1.3864E-03  1.5895E+01  5.3793E+02  2.3130E-03  7.1537E+00  1.6000E+04  0.0000E+00  0.0000E+00  2.1905E+00  0.0000E+00
