  3.4120E+00  2.8912E-03
  3.4300E+00  2.7777E-03
  3.4462E+00  2.7137E-03
  3.4608E+00  2.7080E-03
  3.4739E+00  2.7148E-03
  3.4865E+00  2.7196E-03
  3.4978E+00  2.7221E-03
  3.5096E+00  2.7233E-03
  3.5217E+00  2.7243E-03
  3.5344E+00  2.7255E-03
  3.5479E+00  2.7269E-03
  3.5622E+00  2.7285E-03
  3.5774E+00  2.7303E-03
  3.5935E+00  2.7308E-03
  3.6080E+00  2.7317E-03
  3.6213E+00  2.7327E-03
  3.6355E+00  2.7339E-03
  3.6504E+00  2.7349E-03
  3.6663E+00  2.7357E-03
  3.6831E+00  2.7363E-03
  3.7010E+00  2.7367E-03
  3.7199E+00  2.7368E-03
  3.7399E+00  2.7365E-03
  3.7611E+00  2.7360E-03
  3.7837E+00  2.7350E-03
  3.8075E+00  2.7336E-03
  3.8328E+00  2.7318E-03
  3.8596E+00  2.7295E-03
  3.8881E+00  2.7267E-03
  3.9182E+00  2.7234E-03
  3.9501E+00  2.7197E-03
  3.9840E+00  2.7154E-03
  4.0199E+00  2.7105E-03
  4.0579E+00  2.7052E-03
  4.0982E+00  2.6994E-03
  4.1410E+00  2.6931E-03
  4.1863E+00  2.6863E-03
  4.2343E+00  2.6791E-03
  4.2852E+00  2.6714E-03
  4.3391E+00  2.6634E-03
  4.3963E+00  2.6549E-03
  4.4570E+00  2.6461E-03
  4.5212E+00  2.6370E-03
  4.5893E+00  2.6275E-03
  4.6615E+00  2.6177E-03
  4.7381E+00  2.6076E-03
  4.8192E+00  2.5972E-03
  4.9052E+00  2.5856E-03
  4.9826E+00  2.5748E-03
  5.0523E+00  2.5664E-03
  5.1150E+00  2.5594E-03
  5.1814E+00  2.5522E-03
  5.2519E+00  2.5446E-03
  5.3265E+00  2.5366E-03
  5.4057E+00  2.5284E-03
  5.4896E+00  2.5199E-03
  5.5785E+00  2.5112E-03
  5.6728E+00  2.5022E-03
  5.7727E+00  2.4926E-03
  5.8766E+00  2.4830E-03
  5.9847E+00  2.4733E-03
  6.0971E+00  2.4633E-03
  6.2140E+00  2.4531E-03
  6.3356E+00  2.4423E-03
  6.4596E+00  2.4314E-03
  6.5885E+00  2.4198E-03
  6.7201E+00  2.4078E-03
  6.8569E+00  2.3945E-03
  6.9964E+00  2.3785E-03
  7.1220E+00  2.3650E-03
  7.2351E+00  2.3528E-03
  7.3549E+00  2.3390E-03
  7.4819E+00  2.3232E-03
  7.6165E+00  2.3045E-03
  7.7511E+00  2.2848E-03
  7.8911E+00  2.2630E-03
  8.0395E+00  2.2372E-03
  8.1938E+00  2.2075E-03
  8.3420E+00  2.1773E-03
  8.4991E+00  2.1419E-03
  8.6530E+00  2.1047E-03
  8.8038E+00  2.0657E-03
  8.9547E+00  2.0240E-03
  9.1025E+00  1.9806E-03
  9.2473E+00  1.9357E-03
  9.3893E+00  1.8893E-03
  9.5284E+00  1.8417E-03
  9.6648E+00  1.7950E-03
  9.7875E+00  1.7512E-03
  9.8979E+00  1.7112E-03
  1.0013E+01  1.6697E-03
  1.0132E+01  1.6266E-03
  1.0259E+01  1.5819E-03
  1.0388E+01  1.5371E-03
  1.0520E+01  1.4926E-03
  1.0654E+01  1.4492E-03
  1.0786E+01  1.4088E-03
  1.0917E+01  1.3714E-03
  1.1041E+01  1.3380E-03
  1.1155E+01  1.3088E-03
 -9.9900E+02 -9.9900E+02
